location,latitude,longitude,magnitude,depth,day,hour,minute,sec
SUNNETKOY-ELBISTAN (KAHRAMANMARAS),38.0838,37.4905,3, 8.9 km,7,23,22,19
KIRLANGIC-YESILYURT (MALATYA),38.2388,38.0722,3, 5.0 km,7,23,13,57
YESILOVA-(HATAY),36.2723,36.2597,3.6, 3.0 km,7,23,9,50
ORTATEPE-GOKSUN (KAHRAMANMARAS),38.0608,36.5465,3.3, 5.0 km,7,23,1,16
GOLBAGI-CELIKHAN (ADIYAMAN),38.0687,38.2133,3.5, 3.9 km,7,22,57,10
YESILBAYIR-PALU (ELAZIG),38.6655,39.9365,4.7, 5.0 km,7,22,54,21
FINDIKKOY-DOGANSEHIR (MALATYA),38.1105,37.767,3, 4.1 km,7,22,44,2
HALKACAYIRI-(KAHRAMANMARAS),37.4097,37.072,3.1, 6.6 km,7,22,40,24
BARIS-NURHAK (KAHRAMANMARAS),38.0165,37.3288,3.3, 5.0 km,7,22,37,38
TAHIRBEY-GOKSUN (KAHRAMANMARAS),38.1315,36.4728,3.7, 5.0 km,7,22,33,46
CUMHURIYETCI-MADEN (ELAZIG),38.5152,39.658,3.4, 9.0 km,7,22,30,16
FINDIKKOY-DOGANSEHIR (MALATYA),38.1392,37.8097,3.6, 2.7 km,7,22,24,27
KARADUT-GOKSUN (KAHRAMANMARAS),38.069,36.938,4.5, 5.3 km,7,22,13,48
AGCASAR-NURHAK (KAHRAMANMARAS),38.083,37.4165,3.3, 2.2 km,7,22,7,2
YENIKAPI-(ELAZIG),38.5915,39.39,3.5,16.8 km,7,21,55,52
HACIMIRZA-GOKSUN (KAHRAMANMARAS),38.042,36.5098,3.3, 5.4 km,7,21,43,21
POLAT-DOGANSEHIR (MALATYA),38.1622,37.8942,3.4, 3.5 km,7,21,38,41
NADIRKOY-AFSIN (KAHRAMANMARAS),38.1628,36.9585,3.1, 5.0 km,7,21,36,23
YUKARIKARAKUYU-GOLBASI (ADIYAMAN),37.684,37.677,3.1, 5.0 km,7,21,33,0
HACIMIRZA-GOKSUN (KAHRAMANMARAS),38.0458,36.4935,3.2,12.0 km,7,21,23,50
POLAT-DOGANSEHIR (MALATYA),38.1533,37.8547,3.9, 4.9 km,7,21,12,25
KANLIKAVAK-GOKSUN (KAHRAMANMARAS),38.1028,36.6345,5.3, 5.0 km,7,21,9,58
CAGLAYAN-GOKSUN (KAHRAMANMARAS),38.03,36.4312,3.9, 5.0 km,7,20,53,49
GUMUSDOVEN-ELBISTAN (KAHRAMANMARAS),38.0852,37.2477,3.6, 5.0 km,7,20,52,39
KAMISCIK-GOKSUN (KAHRAMANMARAS),38.1122,36.88,3.9, 5.2 km,7,20,46,56
KAHTA (ADIYAMAN),37.7845,38.624,3.6, 8.3 km,7,20,42,39
BEGRE-DOGANSEHIR (MALATYA),38.0265,37.6578,4, 5.0 km,7,20,37,58
COBANLI-(KAHRAMANMARAS),37.7088,36.9705,3.1, 9.9 km,7,20,25,7
KARAGOL-CELIKHAN (ADIYAMAN),38.0995,38.4198,3.2, 4.8 km,7,20,20,36
KARAKOSE-SINCIK (ADIYAMAN),38.0927,38.4765,3.5, 2.1 km,7,20,17,9
KARAOMER-GOKSUN (KAHRAMANMARAS),38.1123,36.6568,3.1,19.4 km,7,20,3,50
KARADUT-GOKSUN (KAHRAMANMARAS),38.117,36.9903,3.2, 5.0 km,7,20,2,54
TATLAR-NURHAK (KAHRAMANMARAS),38.0208,37.5118,3.6, 5.0 km,7,19,54,30
YAGMURLU-GOKSUN (KAHRAMANMARAS),38.069,36.5648,3.8, 5.0 km,7,19,49,12
ARSLANBEY-PAZARCIK (KAHRAMANMARAS),37.3478,37.0718,3.4, 7.1 km,7,19,36,45
DEMIRCILIK-ELBISTAN (KAHRAMANMARAS),38.224,37.3278,4.2, 5.0 km,7,19,30,39
AKPINAR-EKINOZU (KAHRAMANMARAS),38.1187,37.2148,3.1, 6.7 km,7,19,22,15
ERKENEK-DOGANSEHIR (MALATYA),37.8865,37.9248,3.1, 5.0 km,7,19,11,45
GOVDELI-DOGANSEHIR (MALATYA),38.0002,37.607,3.6, 5.4 km,7,19,7,36
AGCASAR-NURHAK (KAHRAMANMARAS),38.0507,37.3695,3.8, 4.2 km,7,18,59,48
TASOLUK-GOKSUN (KAHRAMANMARAS),37.9888,36.4592,5, 1.4 km,7,18,48,52
ARSLANBEY-PAZARCIK (KAHRAMANMARAS),37.3555,37.0788,5, 4.0 km,7,18,31,28
SENLIK-LICE (DIYARBAKIR),38.5162,40.4223,3.9, 7.8 km,7,18,23,50
SOYSALLI-EKINOZU (KAHRAMANMARAS),38.089,37.0963,3.3, 5.3 km,7,18,6,52
YESILYAYLA-CELIKHAN (ADIYAMAN),38.0218,38.3147,3.1, 2.7 km,7,17,44,31
KUMARLI-(KAHRAMANMARAS),37.8687,36.5137,3.8, 5.3 km,7,17,34,46
ESENCE-AFSIN (KAHRAMANMARAS),38.1527,36.8953,3.4, 7.8 km,7,17,24,42
KIRECKOY-GOKSUN (KAHRAMANMARAS),37.9818,36.494,4.1, 4.6 km,7,17,23,16
YUVA-GURUN (SIVAS),38.7903,37.4272,3, 5.0 km,7,16,59,44
TAHTAKOPRU-(HATAY),36.3795,36.1353,3.8, 7.9 km,7,16,56,1
SARIKIZ-HEKIMHAN (MALATYA),38.8403,37.864,3.2, 5.0 km,7,16,46,11
CAYKOY-PUTURGE (MALATYA),38.2512,38.6915,3.5, 5.0 km,7,16,42,32
MAGARACIK-SAMANDAG (HATAY),36.0963,35.793,4.3,31.3 km,7,16,36,44
TEMURAGA-GOKSUN (KAHRAMANMARAS),38.0415,36.5705,3.7, 4.4 km,7,16,35,48
ALICLIBUCAK-GOKSUN (KAHRAMANMARAS),38.09,36.5482,4.1, 5.4 km,7,16,34,10
CIT-KEMALIYE (ERZINCAN),39.0973,38.606,3.2, 5.0 km,7,16,23,28
HACIOMER-GOKSUN (KAHRAMANMARAS),38.068,36.6023,3.3, 5.0 km,7,16,8,47
ESKIKOY-DOGANSEHIR (MALATYA),38.1052,38.0212,3.1, 5.0 km,7,16,3,59
IKINCILER-AKCADAG (MALATYA),38.2773,37.9608,3.6, 5.0 km,7,15,53,14
DEDEKOY-AKCADAG (MALATYA),38.2313,37.973,3.7, 5.0 km,7,15,43,41
DOGANLI-PAZARCIK (KAHRAMANMARAS),37.4087,37.1358,3.4, 5.4 km,7,15,35,48
ALICLIBUCAK-GOKSUN (KAHRAMANMARAS),38.0888,36.5532,3.2, 5.0 km,7,15,27,13
ICERISU-NURDAGI (GAZIANTEP),37.1727,36.8665,3.1,17.9 km,7,15,24,35
TATLAR-NURHAK (KAHRAMANMARAS),37.9815,37.5558,3.2, 5.0 km,7,15,4,23
OZCANLI-ELBISTAN (KAHRAMANMARAS),38.1197,37.2923,3.2, 5.9 km,7,14,59,21
KULLAR-NURHAK (KAHRAMANMARAS),37.9968,37.482,4, 5.0 km,7,14,55,19
YAGMURLU-GOKSUN (KAHRAMANMARAS),38.076,36.557,3.6, 7.2 km,7,14,47,36
KAZANLIPINAR-(KAHRAMANMARAS),37.636,37.2323,3.6,11.5 km,7,14,38,52
ARMUTALAN-ELBISTAN (KAHRAMANMARAS),38.0912,37.6877,3, 5.0 km,7,14,34,48
GUVENC-HEKIMHAN (MALATYA),38.9023,37.9535,3.6, 5.0 km,7,14,32,9
CAVUSLU-DOGANSEHIR (MALATYA),38.155,37.7368,3.7, 5.0 km,7,14,24,35
DEREKOY-HEKIMHAN (MALATYA),38.917,37.8652,3.6, 5.0 km,7,14,20,11
SOGUTLU-PAZARCIK (KAHRAMANMARAS),37.4958,37.1863,3,13.3 km,7,14,12,19
SUNNETKOY-ELBISTAN (KAHRAMANMARAS),38.0632,37.4718,4.2, 5.0 km,7,14,1,11
DONGEL-(KAHRAMANMARAS),37.852,36.6282,4.4, 3.2 km,7,13,56,29
SAHINKAYASI-(KAHRAMANMARAS),37.8732,36.6982,3.2, 4.6 km,7,13,47,32
OREN-AKCADAG (MALATYA),38.2452,37.9093,3.5,13.9 km,7,13,44,51
KUSDOGAN-YESILYURT (MALATYA),38.3478,38.1357,4.7, 6.5 km,7,13,27,30
AKSU-SINCIK (ADIYAMAN),38.1435,38.5183,5.4, 9.7 km,7,13,18,12
ULUKOY-(MALATYA),38.1618,38.5587,3.5, 9.3 km,7,13,15,1
GUZELKOY-DOGANSEHIR (MALATYA),38.0113,38.0627,3.5, 4.4 km,7,13,10,44
AKPINAR-EKINOZU (KAHRAMANMARAS),38.0978,37.2215,3.6, 5.0 km,7,13,5,35
MISIRDERE-YAZIHAN (MALATYA),38.5437,38.1397,3.3,30.0 km,7,13,3,58
MEHMETBEY-GOKSUN (KAHRAMANMARAS),38.0722,36.4703,3.9, 5.0 km,7,13,3,16
MURSEL-GOKSUN (KAHRAMANMARAS),38.1178,36.3918,3.8, 1.0 km,7,12,53,30
HURRIYET-PAZARCIK (KAHRAMANMARAS),37.3528,37.41,3.3, 5.0 km,7,12,46,46
YESILYURT-TURKOGLU (KAHRAMANMARAS),37.2342,36.7603,3.5, 4.9 km,7,12,16,33
ALTINLI-AKCADAG (MALATYA),38.2815,38.0022,3.4, 5.0 km,7,11,57,25
ALTAS-AFSIN (KAHRAMANMARAS),38.1648,36.9667,3.1, 5.0 km,7,11,46,12
YANTEPE-GOKSUN (KAHRAMANMARAS),38.031,36.5508,3.7, 9.9 km,7,11,43,26
CUMHURIYET-YESILYURT (MALATYA),38.236,38.0198,3.4, 5.0 km,7,11,34,20
SOGUTLU-PUTURGE (MALATYA),38.2312,38.6178,4.1, 2.6 km,7,11,31,31
KULLAR-NURHAK (KAHRAMANMARAS),38.0077,37.4765,4.4, 5.0 km,7,11,25,45
SOGUTLU-PUTURGE (MALATYA),38.1917,38.5815,3.8, 5.0 km,7,11,18,8
TATLAR-NURHAK (KAHRAMANMARAS),38.0778,37.5377,3.8, 3.3 km,7,11,13,14
TASBURUN-ELBISTAN (KAHRAMANMARAS),38.1565,37.2197,3.4, 4.0 km,7,11,8,49
ARPALIUSAGI-HASSA (HATAY),36.7723,36.4443,4, 5.0 km,7,10,54,23
ESENLER-ISLAHIYE (GAZIANTEP),36.8813,36.5118,3.9, 5.0 km,7,10,45,5
KAVAKLIDERE-PUTURGE (MALATYA),38.227,38.6652,3.1, 5.0 km,7,10,40,8
SOGUKPINAR-GOKSUN (KAHRAMANMARAS),38.0988,36.3867,3.2,16.4 km,7,10,31,16
TAPKIRANKALE-ELBISTAN (KAHRAMANMARAS),38.1385,37.6302,4.3, 4.0 km,7,10,26,34
KOZLUK-PUTURGE (MALATYA),38.093,38.6093,5.5, 5.0 km,7,10,11,12
NURDAGI (GAZIANTEP),37.1683,36.7253,3.4,17.2 km,7,9,58,19
KURSUNLU-HEKIMHAN (MALATYA),38.645,37.8532,3.4, 5.0 km,7,9,56,29
DARICA-AKCADAG (MALATYA),38.3348,37.668,4.5, 2.1 km,7,9,48,51
ACIELMA-GOKSUN (KAHRAMANMARAS),38.0165,36.4072,4.4, 5.0 km,7,9,40,52
FINDIKKOY-DOGANSEHIR (MALATYA),38.1312,37.7762,3.5, 4.7 km,7,9,35,57
NURHAK (KAHRAMANMARAS),37.9732,37.4513,3.3, 6.3 km,7,9,31,34
HACIBEBEK-TURKOGLU (KAHRAMANMARAS),37.3312,36.8883,4, 5.0 km,7,9,26,11
OLUKLU-YESILYURT (MALATYA),38.2127,38.1327,4.2, 5.5 km,7,9,15,20
TATLAR-NURHAK (KAHRAMANMARAS),38.0217,37.5177,4.1, 3.0 km,7,9,13,53
AGCASAR-NURHAK (KAHRAMANMARAS),38.0542,37.3593,3.4, 5.0 km,7,9,11,45
BAKIS-ELBISTAN (KAHRAMANMARAS),38.1265,37.4072,3.8, 5.0 km,7,8,55,30
TOPRAKTEPE-DOGANSEHIR (MALATYA),38.0952,37.8452,3.7,29.5 km,7,8,53,53
KARAAGAC-ARSUZ (HATAY),36.58,36.1203,4.4, 5.0 km,7,8,26,35
KARLISU-(HATAY),36.3008,36.097,4.6, 5.0 km,7,8,26,29
GULUMUSAGI-(MALATYA),38.2152,38.5188,3.7, 7.1 km,7,8,20,36
KANLIKAVAK-GOKSUN (KAHRAMANMARAS),38.091,36.6305,3.2, 7.0 km,7,7,50,26
HASANLOK-ISLAHIYE (GAZIANTEP),36.9102,36.5015,4.5, 5.0 km,7,7,42,2
FINDIK-GOKSUN (KAHRAMANMARAS),38.0478,36.7353,3.3, 7.9 km,7,7,24,15
YAZIDERE-AFSIN (KAHRAMANMARAS),38.1587,36.9933,3.1, 5.9 km,7,7,20,28
HACIMIRZA-GOKSUN (KAHRAMANMARAS),38.0325,36.503,3.1, 7.6 km,7,7,18,50
TATLAR-NURHAK (KAHRAMANMARAS),37.991,37.539,4.2, 2.7 km,7,7,16,39
ULUKOY-(MALATYA),38.1825,38.4982,3.2, 8.7 km,7,7,13,14
CIFTLIKKOY-EKINOZU (KAHRAMANMARAS),37.9453,37.184,3.3, 9.3 km,7,7,3,31
YENIYURT-(KAHRAMANMARAS),37.4262,37.0538,3.7, 5.0 km,7,7,2,15
YALINKAYA-YESILYURT (MALATYA),38.0883,38.148,3.9, 5.3 km,7,6,55,50
KELIBISLER-PAZARCIK (KAHRAMANMARAS),37.335,37,3, 5.0 km,7,6,42,12
NARLICA-(HATAY),36.2378,36.2092,4.3, 5.2 km,7,6,36,58
MINEHUYUK-TURKOGLU (KAHRAMANMARAS),37.2913,36.8742,3.1, 5.7 km,7,6,20,14
BESENLI-(KAHRAMANMARAS),37.6592,37.2217,4.2, 5.0 km,7,6,16,16
CATALTEPE-GOLBASI (ADIYAMAN),37.83,37.629,5.6, 2.3 km,7,6,13,13
KAPIDERE-DOGANSEHIR (MALATYA),37.9615,37.6043,5, 5.4 km,7,6,8,57
ARMUTALAN-ELBISTAN (KAHRAMANMARAS),38.1295,37.7013,3.4, 5.0 km,7,6,7,18
AGCASAR-NURHAK (KAHRAMANMARAS),38.0462,37.3777,3.2, 5.0 km,7,6,5,34
GORGU-YESILYURT (MALATYA),38.2853,38.1218,3.4, 5.0 km,7,6,0,26
YUVALI-DOGANSEHIR (MALATYA),38.1875,37.9273,3.7, 5.7 km,7,5,55,56
YAYLADAGI (HATAY),35.8758,36.0493,4.7, 5.0 km,7,5,47,34
KARADUT-GOKSUN (KAHRAMANMARAS),38.082,36.9362,4.2, 5.3 km,7,5,43,27
OLUCAK-NURDAGI (GAZIANTEP),37.1938,36.6968,3.3, 5.3 km,7,5,41,56
TAPKIRANKALE-ELBISTAN (KAHRAMANMARAS),38.11,37.6548,3.6, 5.3 km,7,5,35,24
CUKURHISAR-(KAHRAMANMARAS),37.838,36.5852,3.8, 5.0 km,7,5,34,37
YAPILIPINAR-ELBISTAN (KAHRAMANMARAS),38.3042,37.5125,3.3, 5.0 km,7,5,26,51
HORHOR-ELBISTAN (KAHRAMANMARAS),38.5477,37.3053,3.7, 3.7 km,7,5,17,13
HACIMIRZA-GOKSUN (KAHRAMANMARAS),38.0397,36.508,3.1, 4.6 km,7,5,4,59
GUROBASI-DOGANSEHIR (MALATYA),38.1015,37.9587,3.4, 5.0 km,7,5,1,51
RESADIYE-DOGANSEHIR (MALATYA),37.9855,37.9972,3.6, 5.0 km,7,4,58,4
DOGANLI-PAZARCIK (KAHRAMANMARAS),37.4125,37.1328,3.4, 6.7 km,7,4,51,46
TATLAR-NURHAK (KAHRAMANMARAS),38.0413,37.4745,3, 6.6 km,7,4,45,37
DENIZLI-PAZARCIK (KAHRAMANMARAS),37.4117,37.0997,4.4,10.0 km,7,4,34,29
GOVDELI-DOGANSEHIR (MALATYA),38.0607,37.6073,4.1, 8.4 km,7,4,33,58
CAGLAYAN-GOKSUN (KAHRAMANMARAS),38.0533,36.4388,3.9, 5.0 km,7,4,32,0
HACIMIRZA-GOKSUN (KAHRAMANMARAS),38.0447,36.5283,3.1, 5.4 km,7,4,18,8
GOVDELI-DOGANSEHIR (MALATYA),38.0282,37.5807,3.1,17.5 km,7,4,8,25
TATLAR-NURHAK (KAHRAMANMARAS),38.022,37.5237,3.2, 9.2 km,7,4,0,17
AGCASAR-NURHAK (KAHRAMANMARAS),38.0418,37.4117,3.6, 4.2 km,7,3,55,34
KARATERZI-DOGANSEHIR (MALATYA),38.1833,37.8723,3.3, 8.0 km,7,3,53,31
CANKARA-GOLBASI (ADIYAMAN),37.8832,37.8902,3.2, 5.0 km,7,3,46,47
KANLIKAVAK-GOKSUN (KAHRAMANMARAS),38.1213,36.6128,3.9, 4.7 km,7,3,40,8
ULUKOY-(MALATYA),38.1798,38.5345,3.6, 9.3 km,7,3,38,16
YENIYURT-(KAHRAMANMARAS),37.4477,37.0548,3.8, 5.5 km,7,3,29,15
KARAOMER-GOKSUN (KAHRAMANMARAS),38.1453,36.6972,3.7, 3.0 km,7,3,26,20
CARDAK-GOKSUN (KAHRAMANMARAS),38.0983,36.8077,4, 5.4 km,7,3,23,43
CEVREPINAR-(KAHRAMANMARAS),37.8552,36.6077,3.9, 5.0 km,7,3,20,14
BEYOGLU-TURKOGLU (KAHRAMANMARAS),37.2883,36.7968,3.7, 4.0 km,7,3,15,19
HACIMIRZA-GOKSUN (KAHRAMANMARAS),38.035,36.526,3.2, 5.2 km,7,3,12,18
AKTOPRAK-GOLBASI (ADIYAMAN),37.8725,37.7108,3.3,16.8 km,7,3,11,34
OVAKENT-(HATAY),36.3843,36.2383,3.5, 4.8 km,7,3,5,40
OVACIK-ELBISTAN (KAHRAMANMARAS),38.4125,37.2062,3.5, 5.0 km,7,3,3,45
DENIZLI-PAZARCIK (KAHRAMANMARAS),37.4352,37.093,3.4, 5.8 km,7,3,1,2
NURHAK (KAHRAMANMARAS),38.0423,37.439,3.6, 3.7 km,7,2,56,3
KARAOMER-GOKSUN (KAHRAMANMARAS),38.1052,36.7183,3.6, 5.4 km,7,2,54,15
AGCASAR-NURHAK (KAHRAMANMARAS),38.0782,37.3888,3,24.2 km,7,2,48,34
DEGIRMITAS-YAVUZELI (GAZIANTEP),37.3495,37.4865,3.1,23.2 km,7,2,43,30
YUVALI-DOGANSEHIR (MALATYA),38.1905,37.9302,3.2, 5.0 km,7,2,41,13
AKOREN-ELBISTAN (KAHRAMANMARAS),38.242,37.2323,3.4, 5.0 km,7,2,36,23
SATIRHUYUK-NURDAGI (GAZIANTEP),37.229,36.954,3.1, 8.7 km,7,2,31,31
AKDENIZ,35.8628,35.0677,3.9, 9.5 km,7,2,29,20
FINDIKKOY-DOGANSEHIR (MALATYA),38.1027,37.7762,3.4, 8.4 km,7,2,27,11
TEMURAGA-GOKSUN (KAHRAMANMARAS),38.0518,36.558,3.4, 5.0 km,7,2,17,11
GUZELYURT-(KAHRAMANMARAS),37.486,37.0078,3,16.9 km,7,2,12,56
ORTAOREN-EKINOZU (KAHRAMANMARAS),38.1047,37.1343,3.2,12.4 km,7,2,11,38
YALAKKOY-ELBISTAN (KAHRAMANMARAS),38.2733,37.4833,3.4,20.5 km,7,2,5,53
ARMUTALAN-ELBISTAN (KAHRAMANMARAS),38.1262,37.7282,3.3, 5.3 km,7,2,1,56
GORGU-YESILYURT (MALATYA),38.2947,38.1053,3.2, 2.1 km,7,1,59,5
YIRICEK-GOKSUN (KAHRAMANMARAS),38.0103,36.4663,3.1, 1.6 km,7,1,51,16
ASLANBEYCIFTLIGI-GOKSUN (KAHRAMANMARAS),38.0127,36.5365,3.8, 5.0 km,7,1,44,53
YAGMURLU-GOKSUN (KAHRAMANMARAS),38.0642,36.5588,3, 5.1 km,7,1,41,9
CATOVA-ELBISTAN (KAHRAMANMARAS),38.2657,37.1812,3.2, 8.2 km,7,1,41,3
GOVDELI-DOGANSEHIR (MALATYA),38.0653,37.585,3.3, 5.3 km,7,1,37,39
NURHAK (KAHRAMANMARAS),38.028,37.4318,3.8, 5.0 km,7,1,34,21
CAMDERE-GOKSUN (KAHRAMANMARAS),38.1128,36.526,4.4, 5.0 km,7,1,29,39
DARICA-AKCADAG (MALATYA),38.3277,37.681,3.9, 5.0 km,7,1,28,6
