location,latitude,longitude,magnitude,depth,day,hour,minute,sec
NURHAK (KAHRAMANMARAS),37.9773,37.4153,4.3, 3.6 km,7,1,26,18
AGCASAR-NURHAK (KAHRAMANMARAS),38.084,37.341,3.5, 5.2 km,7,1,23,35
NURHAK (KAHRAMANMARAS),38.0328,37.4505,3.2, 2.3 km,7,1,19,54
DURULDU-(MALATYA),38.3218,38.1713,4.4, 7.5 km,7,1,11,36
KEMALPASA-GOKSUN (KAHRAMANMARAS),38.0982,36.9202,3.8, 5.0 km,7,1,9,51
KARABAHSILI-GOLBASI (ADIYAMAN),37.8935,37.739,3.3, 3.7 km,7,1,6,15
CANKARA-GOLBASI (ADIYAMAN),37.8963,37.8733,3.7, 2.5 km,7,1,2,47
ORTATEPE-GOKSUN (KAHRAMANMARAS),38.0568,36.5238,5.1, 2.0 km,7,0,57,43
BOZHUYUK-GOKSUN (KAHRAMANMARAS),38.1733,36.5183,3.2, 5.3 km,7,0,54,57
ORTATEPE-GOKSUN (KAHRAMANMARAS),38.0725,36.5153,4, 5.0 km,7,0,41,25
KARABURCLU-NURDAGI (GAZIANTEP),37.1418,36.7352,3.8, 7.0 km,7,0,38,45
TATLAR-NURHAK (KAHRAMANMARAS),38.0317,37.5607,3.5, 4.7 km,7,0,28,10
HASANKENDI-ELBISTAN (KAHRAMANMARAS),38.2335,37.1547,3,10.7 km,7,0,23,32
GORGU-YESILYURT (MALATYA),38.2605,38.1145,3.7, 3.0 km,7,0,19,46
SOYSALLI-EKINOZU (KAHRAMANMARAS),38.0708,37.0447,4.9, 5.0 km,7,0,15,16
MAKSUTUSAGI-PAZARCIK (KAHRAMANMARAS),37.399,37.1047,3.6, 1.3 km,7,0,12,57
NARLI-PAZARCIK (KAHRAMANMARAS),37.4008,37.1177,3.2, 3.3 km,7,0,6,31
KARAOMER-GOKSUN (KAHRAMANMARAS),38.1312,36.6692,3.4, 4.2 km,7,0,5,12
YENIKOY-SAIMBEYLI (ADANA),37.9933,36.1778,3.9, 3.1 km,6,23,58,14
TASOLUK-GOKSUN (KAHRAMANMARAS),37.9792,36.4438,3.4, 5.4 km,6,23,55,47
YUKSEKOREN-ALADAG (ADANA),37.4157,35.4068,3.8, 5.0 km,6,23,44,14
KIRECKOY-GOKSUN (KAHRAMANMARAS),37.9827,36.4945,5, 1.8 km,6,23,43,59
EMIROGLU-PAZARCIK (KAHRAMANMARAS),37.303,37.0628,5.3, 6.3 km,6,23,37,51
KUCUKLU-DOGANSEHIR (MALATYA),37.9993,37.7007,3.3, 5.8 km,6,23,35,3
CAYIRKOY-YESILYURT (MALATYA),38.3587,38.1062,3.3, 5.0 km,6,23,28,11
PINARBASI-CELIKHAN (ADIYAMAN),38.0537,38.1132,3.8, 5.3 km,6,23,26,12
KARSIYAKA-PUTURGE (MALATYA),38.2932,38.7768,4.4, 5.0 km,6,23,23,11
CAGLAYAN-GOKSUN (KAHRAMANMARAS),38.0583,36.4342,3.2, 5.0 km,6,23,21,53
TATLAR-NURHAK (KAHRAMANMARAS),38.0758,37.5427,3.1,12.4 km,6,23,20,53
SOGUKPINAR-GOKSUN (KAHRAMANMARAS),38.0333,36.4058,4.4, 5.0 km,6,23,14,10
CAVUSLU-DOGANSEHIR (MALATYA),38.2033,37.7832,4, 5.0 km,6,23,8,31
ARMUTALAN-ELBISTAN (KAHRAMANMARAS),38.1372,37.683,3.6, 5.9 km,6,23,5,23
KUMARLI-(KAHRAMANMARAS),37.8733,36.5292,3.5, 5.0 km,6,23,2,25
KUMARLI-(KAHRAMANMARAS),37.868,36.5258,3.6, 5.0 km,6,22,57,59
GOKSU-SOLHAN (BINGOL),39.0175,41.1005,3.7, 5.0 km,6,22,51,17
CAMDERE-GOKSUN (KAHRAMANMARAS),38.0955,36.5518,4.4, 5.0 km,6,22,49,39
ASLANBEYCIFTLIGI-GOKSUN (KAHRAMANMARAS),37.9783,36.5487,3.7, 2.9 km,6,22,47,57
CAVUSLU-DOGANSEHIR (MALATYA),38.1455,37.7295,3.9, 5.0 km,6,22,43,41
YALINKAYA-YESILYURT (MALATYA),38.1078,38.0847,4.7, 1.8 km,6,22,40,16
CAVUSLU-DOGANSEHIR (MALATYA),38.1737,37.7465,3.5, 2.6 km,6,22,37,36
SEYRANTEPE-PAZARCIK (KAHRAMANMARAS),37.4702,37.1305,4.4, 5.0 km,6,22,35,50
CAMLICA-(KAHRAMANMARAS),37.9623,36.7942,3.6, 5.0 km,6,22,25,0
AGCASAR-NURHAK (KAHRAMANMARAS),38.0765,37.3265,3.4, 4.9 km,6,22,18,58
AGCASAR-NURHAK (KAHRAMANMARAS),38.0495,37.4475,4.1, 5.0 km,6,22,12,31
YALINKAYA-YESILYURT (MALATYA),38.1205,38.1235,3.1, 7.9 km,6,21,55,52
KURUCAOVA-DOGANSEHIR (MALATYA),38.018,38.079,3.5, 2.0 km,6,21,53,37
SURIYE,36.6443,36.7807,3.6,18.7 km,6,21,51,16
GORGU-YESILYURT (MALATYA),38.2835,38.1372,4.2, 5.0 km,6,21,48,47
KORKMAZ-GOKSUN (KAHRAMANMARAS),38.0917,36.7588,3.3, 5.0 km,6,21,41,38
PINARBASI-CELIKHAN (ADIYAMAN),38.0095,38.1712,4.2,22.8 km,6,21,32,39
GOZPINAR-EKINOZU (KAHRAMANMARAS),38.0422,37.2627,3.3, 5.0 km,6,21,26,45
ULUKOY-(MALATYA),38.1755,38.5422,4.2, 7.3 km,6,21,17,49
MEHMETBEY-GOKSUN (KAHRAMANMARAS),38.0815,36.4372,5.3, 5.0 km,6,21,3,53
YENIYAPAN-GOKSUN (KAHRAMANMARAS),38.1753,36.6147,4.6, 7.9 km,6,21,2,44
SIVRICEHUYUK-(KAHRAMANMARAS),37.4285,36.9872,3.6, 5.4 km,6,20,54,33
DEDEYAZI-DOGANSEHIR (MALATYA),38.1987,37.8245,4.5, 7.1 km,6,20,46,49
ESENCE-AFSIN (KAHRAMANMARAS),38.1615,36.9075,3.9, 5.6 km,6,20,44,29
SOGUCAK-AFSIN (KAHRAMANMARAS),38.1583,36.9127,3.8,16.9 km,6,20,37,24
KARTAL-(KAHRAMANMARAS),37.5012,37.1313,3.5, 4.5 km,6,20,33,3
ELBISTANHUYUGU-ISLAHIYE (GAZIANTEP),37.1148,36.7328,4.6, 5.3 km,6,20,31,33
MAHMUTBEY-GOKSUN (KAHRAMANMARAS),38.1047,36.4972,3.9, 4.4 km,6,20,22,2
ORTATEPE-GOKSUN (KAHRAMANMARAS),38.058,36.4968,3.5, 8.2 km,6,20,16,16
BAKIS-ELBISTAN (KAHRAMANMARAS),38.1157,37.3847,4.3, 5.0 km,6,20,11,47
KULLU-(OSMANIYE),36.9267,36.446,3,26.5 km,6,20,6,52
KIRAZLIYURT-TUFANBEYLI (ADANA),38.1065,36.3048,3.6, 1.5 km,6,19,59,26
DEVEBOYNU-AFSIN (KAHRAMANMARAS),38.139,36.7907,4,15.6 km,6,19,53,43
SOGUKPINAR-GOKSUN (KAHRAMANMARAS),38.0573,36.388,3.8, 5.0 km,6,19,46,37
YIRICEK-GOKSUN (KAHRAMANMARAS),38.0077,36.4658,5.2, 5.0 km,6,19,43,27
SULEYMANLI-(KAHRAMANMARAS),37.9282,36.8213,3.6,17.4 km,6,19,32,12
COBANTEPE-TURKOGLU (KAHRAMANMARAS),37.3727,36.9295,4.3, 7.0 km,6,19,28,8
YANTEPE-GOKSUN (KAHRAMANMARAS),38.0395,36.5572,3.9, 6.8 km,6,19,22,44
CUKURKISLA-TUFANBEYLI (ADANA),38.1437,36.304,3.9, 3.8 km,6,19,21,46
HACIBEBEK-TURKOGLU (KAHRAMANMARAS),37.3503,36.9288,3.6, 9.3 km,6,19,12,56
SOYSALLI-EKINOZU (KAHRAMANMARAS),38.1047,37.063,3.9, 5.0 km,6,19,6,42
OZCANLI-ELBISTAN (KAHRAMANMARAS),38.088,37.2853,3.7, 5.0 km,6,19,2,13
TATLAR-NURHAK (KAHRAMANMARAS),38.0633,37.5183,4, 5.0 km,6,18,59,25
ORDEKDEDE-PAZARCIK (KAHRAMANMARAS),37.3128,37.086,3,11.4 km,6,18,54,4
CAMLICA-(KAHRAMANMARAS),37.9627,36.7203,3.8,21.0 km,6,18,48,1
SEYITUSAGI-YESILYURT (MALATYA),38.2837,38.155,5.5, 1.0 km,6,18,33,32
KAYADIBI-AKCADAG (MALATYA),38.4733,37.7928,5.2,22.0 km,6,18,14,28
TATLAR-NURHAK (KAHRAMANMARAS),38.034,37.535,4.1, 5.0 km,6,18,8,6
HAMZALAR-GOLBASI (ADIYAMAN),37.9258,37.667,3.8, 9.8 km,6,17,55,28
AKSU-SINCIK (ADIYAMAN),38.1317,38.4755,4.4, 3.9 km,6,17,51,14
ERICEK-GENC (BINGOL),38.5915,40.2987,3.2, 7.6 km,6,17,45,12
CAVUSLU-DOGANSEHIR (MALATYA),38.1797,37.7755,4.2, 5.5 km,6,17,41,56
SEYITUSAGI-YESILYURT (MALATYA),38.241,38.1558,4.1, 3.4 km,6,17,20,51
NURHAK (KAHRAMANMARAS),37.9993,37.4345,4.6, 1.8 km,6,17,10,9
MAHMUTBEY-GOKSUN (KAHRAMANMARAS),38.102,36.5028,4, 5.0 km,6,16,58,49
KANTARMA-ELBISTAN (KAHRAMANMARAS),38.1595,37.5413,5.3, 8.2 km,6,16,39,24
HACIMIRZA-GOKSUN (KAHRAMANMARAS),38.0483,36.5193,4.9, 5.0 km,6,16,17,43
AGCASAR-NURHAK (KAHRAMANMARAS),38.073,37.4315,4.3,13.6 km,6,16,6,37
ORTAKLI-AFSIN (KAHRAMANMARAS),38.1665,37.0397,4.5, 8.2 km,6,16,0,13
ORTAKLI-AFSIN (KAHRAMANMARAS),38.1552,37.0305,4.4, 5.0 km,6,15,47,59
AKCABEL-GOLBASI (ADIYAMAN),37.8063,37.7952,4.8,21.1 km,6,15,36,33
GUNDUZBEY-YESILYURT (MALATYA),38.2663,38.2253,4.8, 4.2 km,6,15,34,42
SOGUKPINAR-GOKSUN (KAHRAMANMARAS),38.0947,36.4038,4.3, 5.0 km,6,15,21,18
BICIN-NURHAK (KAHRAMANMARAS),37.9183,37.4562,4,15.9 km,6,15,19,11
NURHAK (KAHRAMANMARAS),37.9892,37.4735,4.9, 8.1 km,6,15,13,47
SOGUKPINAR-GOKSUN (KAHRAMANMARAS),38.04,36.3845,4.3, 4.5 km,6,15,7,33
MEHMETBEY-GOKSUN (KAHRAMANMARAS),38.0697,36.4702,5.8, 5.0 km,6,15,2,11
POLAT-DOGANSEHIR (MALATYA),38.19,37.8257,4.3, 5.0 km,6,14,51,19
SOGUKPINAR-GOKSUN (KAHRAMANMARAS),38.0483,36.361,4.5, 7.3 km,6,14,50,4
DURULDU-(MALATYA),38.3,38.1485,4.5, 1.4 km,6,14,44,7
KANDILKOY-EKINOZU (KAHRAMANMARAS),38.0588,37.0498,3.8,10.5 km,6,14,43,22
MAHMUTBEY-GOKSUN (KAHRAMANMARAS),38.1025,36.4763,4.6, 5.0 km,6,14,39,41
TATLAR-NURHAK (KAHRAMANMARAS),38.0275,37.4738,4.5, 5.2 km,6,14,35,27
TAPKIRAN-ELBISTAN (KAHRAMANMARAS),38.1448,37.6645,4.1, 9.1 km,6,14,34,18
KURTUL-EKINOZU (KAHRAMANMARAS),38.0058,37.043,3.9, 8.6 km,6,14,23,40
POLAT-DOGANSEHIR (MALATYA),38.1508,37.8658,3.9,12.1 km,6,14,20,23
ORTATEPE-GOKSUN (KAHRAMANMARAS),38.0603,36.5322,4.2,14.1 km,6,14,16,39
OZCANLI-ELBISTAN (KAHRAMANMARAS),38.0815,37.299,4.8, 1.4 km,6,14,11,39
MURSEL-GOKSUN (KAHRAMANMARAS),38.1308,36.4318,4.8, 5.4 km,6,14,5,37
TATLAR-NURHAK (KAHRAMANMARAS),38.0542,37.4667,4.4,20.4 km,6,13,56,26
KARAGOZ-(MALATYA),38.2883,38.3595,3.9, 6.4 km,6,13,55,4
DURULDU-(MALATYA),38.2988,38.1322,5.8, 7.5 km,6,13,51,31
CAVUSLU-DOGANSEHIR (MALATYA),38.1835,37.7738,6, 9.1 km,6,13,35,58
EKINOZU (KAHRAMANMARAS),38.0717,37.2063,7.5, 5.0 km,6,13,24,46
SALKONAK-YESILYURT (MALATYA),38.124,38.3465,4.2, 5.3 km,6,13,12,15
HACIBEBEK-TURKOGLU (KAHRAMANMARAS),37.3233,36.9377,3.7, 9.0 km,6,13,9,13
CAMPINAR-CELIKHAN (ADIYAMAN),38.1258,38.2478,4.2, 5.4 km,6,13,7,35
IKIZKUYU-NURDAGI (GAZIANTEP),37.1315,36.9428,3.4, 5.3 km,6,12,57,18
SAVRAN-GOLBASI (ADIYAMAN),37.828,37.5482,3.8, 5.5 km,6,12,54,20
KONURAT-PERTEK (TUNCELI),38.8297,39.4927,4.2, 5.0 km,6,12,48,41
CANAKCI-KALE (MALATYA),38.3275,38.7747,4, 8.9 km,6,12,43,51
KULLU-(OSMANIYE),36.936,36.4072,4.5,12.7 km,6,12,23,45
CIGLI-(KAHRAMANMARAS),37.4897,37.0945,3.5,12.0 km,6,12,5,50
MINEHUYUK-TURKOGLU (KAHRAMANMARAS),37.2672,36.8763,3.6, 6.4 km,6,12,5,17
KARABURCLU-NURDAGI (GAZIANTEP),37.1343,36.7163,3.2, 9.6 km,6,12,3,28
SAYLAK-KIRIKHAN (HATAY),36.6303,36.4043,3.9, 8.0 km,6,12,1,35
KARTAL-(KAHRAMANMARAS),37.4928,37.1302,4.7, 5.0 km,6,11,52,36
ARSLANBEY-PAZARCIK (KAHRAMANMARAS),37.36,37.0698,3.7,10.3 km,6,11,45,33
HACIBEBEK-TURKOGLU (KAHRAMANMARAS),37.335,36.8778,3.1, 5.4 km,6,11,33,58
SAKCAGOZE-NURDAGI (GAZIANTEP),37.2038,36.937,3.7, 5.3 km,6,11,25,49
KARAHUYUK-PAZARCIK (KAHRAMANMARAS),37.2453,37.0343,3.1,22.3 km,6,11,12,50
INCIRLI-NURDAGI (GAZIANTEP),37.2553,36.9637,3.5, 5.4 km,6,11,8,39
CAMSARI-KIRIKHAN (HATAY),36.5853,36.4533,4.2,12.8 km,6,11,1,48
SADAKALAR-PAZARCIK (KAHRAMANMARAS),37.463,37.3798,3.3,19.7 km,6,10,43,38
GUNGURGE-SEHITKAMIL (GAZIANTEP),37.2048,37.4778,3.7,28.8 km,6,10,43,9
HUDUTKOY-DOGANSEHIR (MALATYA),37.993,37.894,4.1, 3.6 km,6,10,41,14
KADIOGLUCIFTLIGI-TURKOGLU (KAHRAMANMARAS),37.3273,36.966,3.7, 5.0 km,6,10,35,37
EMIROGLU-PAZARCIK (KAHRAMANMARAS),37.335,37.0677,3.7, 5.0 km,6,10,31,0
DOGANLIKARAHASAN-PAZARCIK (KAHRAMANMARAS),37.4762,37.1397,4, 6.5 km,6,10,21,6
EVRI-PAZARCIK (KAHRAMANMARAS),37.2535,37.0495,3.4, 5.4 km,6,10,12,10
SEYRANTEPE-PAZARCIK (KAHRAMANMARAS),37.477,37.1082,3.6, 5.3 km,6,10,4,6
CINARLI-PAZARCIK (KAHRAMANMARAS),37.4543,37.0848,4.2, 5.0 km,6,9,59,4
KUCUKCERIT-CAGLAYANCERIT (KAHRAMANMARAS),37.7467,37.3912,5.1, 2.3 km,6,9,54,56
RESADIYE-DOGANSEHIR (MALATYA),37.9808,37.9883,3.8,12.1 km,6,9,48,26
CAGLAYANCERIT (KAHRAMANMARAS),37.7527,37.2492,4.2, 9.0 km,6,9,43,14
SOGUT-HASSA (HATAY),36.7803,36.474,3.8,12.5 km,6,9,38,10
BALIKALAN-NURDAGI (GAZIANTEP),37.3072,36.868,3.3,10.4 km,6,9,36,48
EVRI-PAZARCIK (KAHRAMANMARAS),37.2555,37.0557,3.3,14.7 km,6,9,33,19
INCIRLI-NURDAGI (GAZIANTEP),37.259,36.9835,4.7, 5.2 km,6,9,26,28
ORTAKLAR-SAHINBEY (GAZIANTEP),37.0492,36.9962,3.4, 5.0 km,6,9,16,19
PINARHUYUK-TURKOGLU (KAHRAMANMARAS),37.3925,36.9622,4.1, 2.8 km,6,9,14,38
NOGAYLAR-NURDAGI (GAZIANTEP),37.2533,36.8862,3.7,21.2 km,6,9,9,5
MAKSUTUSAGI-PAZARCIK (KAHRAMANMARAS),37.3973,37.0933,3.6, 5.4 km,6,9,0,5
PINARBASI-CELIKHAN (ADIYAMAN),38.004,38.1682,4.4,27.7 km,6,8,55,48
SAKCAGOZE-NURDAGI (GAZIANTEP),37.1853,36.9282,3.2, 5.3 km,6,8,40,1
BUYUKDALYAN-(HATAY),36.297,36.2035,4.9,15.4 km,6,8,36,33
SEYRANTEPE-PAZARCIK (KAHRAMANMARAS),37.4427,37.1208,3.6,13.2 km,6,8,21,45
KARABAHSILI-GOLBASI (ADIYAMAN),37.8838,37.7122,4.2, 8.3 km,6,8,16,55
KARANLIKDERE-DOGANSEHIR (MALATYA),37.9323,37.7783,4.5,15.5 km,6,8,1,49
YENIYURT-(KAHRAMANMARAS),37.4448,37.0202,4.4,28.7 km,6,7,56,6
ALAYBEYLI-KIRIKHAN (HATAY),36.5197,36.3485,3.6,10.0 km,6,7,50,17
GUVENC-HASSA (HATAY),36.6895,36.3915,4.6, 8.5 km,6,7,47,57
OZTURK-(KAHRAMANMARAS),37.4053,36.6863,3.8, 9.0 km,6,7,44,54
BALIKALAN-NURDAGI (GAZIANTEP),37.3078,36.89,3.6, 8.1 km,6,7,42,57
MEYDANKOY-GOLBASI (ADIYAMAN),37.884,37.6453,4.5, 8.5 km,6,7,39,45
MESTHUYUK-NURDAGI (GAZIANTEP),37.223,36.8178,4.2,21.5 km,6,7,31,1
ALAETTINKOY-GONEN (BALIKESIR),40.1988,27.703,4.1,13.1 km,6,7,24,32
GULUMUSAGI-(MALATYA),38.2092,38.515,5.1, 6.5 km,6,7,18,45
SOGUTLU-PAZARCIK (KAHRAMANMARAS),37.4957,37.1835,4.6, 5.7 km,6,7,16,49
BARIS-NURHAK (KAHRAMANMARAS),38.0348,37.3172,4.5,21.8 km,6,7,4,25
KIRISKAL-NURDAGI (GAZIANTEP),37.2362,36.8435,4,17.1 km,6,7,1,15
RESATLI-KIRIKHAN (HATAY),36.477,36.3637,4.3,16.5 km,6,6,58,18
OZBEK-TURKOGLU (KAHRAMANMARAS),37.3647,36.9802,3.8, 6.0 km,6,6,48,43
TANISIK-(MALATYA),38.2863,38.5807,4.7, 1.5 km,6,6,45,47
KAMISTAS-(MALATYA),38.3225,38.6932,4.9, 7.7 km,6,6,45,47
NARLI-PAZARCIK (KAHRAMANMARAS),37.383,37.1363,4.1, 7.3 km,6,6,41,27
CECELI-TURKOGLU (KAHRAMANMARAS),37.3413,36.844,3.9, 8.9 km,6,6,32,52
SARAYOVA-HASANBEYLI (OSMANIYE),37.0937,36.5767,4, 3.5 km,6,6,25,10
UFACIKLI-PAZARCIK (KAHRAMANMARAS),37.409,37.3243,4,14.2 km,6,6,12,12
EMIROGLU-PAZARCIK (KAHRAMANMARAS),37.3437,37.0497,4.7, 4.5 km,6,5,55,8
SOFULAR-(HATAY),36.1077,36.1792,4.2,18.6 km,6,5,48,23
KAZANLIPINAR-(KAHRAMANMARAS),37.6032,37.2467,4.4,17.4 km,6,5,34,19
SAKCAGOZE-NURDAGI (GAZIANTEP),37.1628,36.9292,5.4, 5.0 km,6,5,23,13
GULBABA-(KILIS),36.8367,36.798,4.9, 9.8 km,6,5,17,37
ERKENEK-DOGANSEHIR (MALATYA),37.8892,37.9855,4.8, 6.6 km,6,5,6,23
CENNETPINARI-PAZARCIK (KAHRAMANMARAS),37.2988,37.0045,4.7,12.6 km,6,5,1,44
KAZIKLI-ISLAHIYE (GAZIANTEP),36.8588,36.7102,5.2, 8.5 km,6,4,58,22
YESEMEK-ISLAHIYE (GAZIANTEP),36.8932,36.7413,5.6, 5.0 km,6,4,36,26
SOFALACA-SEHITKAMIL (GAZIANTEP),37.1123,37.1195,7.5, 5.0 km,6,4,17,31
